time,open,high,low,close
2025-06-13 15:30:00,3427.89,3434.53,3426.66,3431.55
2025-06-13 15:45:00,3431.53,3438.15,3429.61,3436.78
2025-06-13 16:00:00,3436.24,3441.35,3435.5,3440.83
2025-06-13 16:15:00,3440.8,3444.48,3437.66,3443.44
2025-06-13 16:30:00,3443.14,3446.8,3439.62,3441.91
2025-06-13 16:45:00,3442.22,3442.63,3434.06,3436.99
2025-06-13 17:00:00,3436.86,3438.26,3427.05,3429.48
2025-06-13 17:15:00,3429.17,3436.06,3424.91,3436.06
2025-06-13 17:30:00,3435.63,3436.78,3433.09,3436.15
2025-06-13 17:45:00,3436.39,3439.84,3423.98,3427.81
2025-06-13 18:00:00,3427.89,3430.27,3422.92,3424.58
2025-06-13 18:15:00,3424.46,3429.49,3421.82,3426.07
2025-06-13 18:30:00,3426.03,3426.42,3421.0,3424.2
2025-06-13 18:45:00,3424.23,3426.54,3422.98,3426.22
2025-06-13 19:00:00,3426.26,3428.26,3419.3,3420.27
2025-06-13 19:15:00,3420.26,3427.4,3420.18,3427.19
2025-06-13 19:30:00,3427.27,3431.06,3426.62,3429.4
2025-06-13 19:45:00,3429.45,3430.58,3428.06,3429.96
2025-06-13 20:00:00,3429.98,3432.2,3427.87,3431.47
2025-06-13 20:15:00,3431.55,3433.47,3430.06,3432.11
2025-06-13 20:30:00,3431.96,3432.81,3428.65,3429.54
2025-06-13 20:45:00,3429.56,3430.54,3427.42,3430.35
2025-06-13 21:00:00,3430.35,3434.35,3429.37,3433.26
2025-06-13 21:15:00,3433.26,3435.75,3428.76,3432.63
2025-06-13 21:30:00,3432.51,3436.32,3431.92,3435.39
2025-06-13 21:45:00,3435.23,3439.45,3433.92,3436.56
2025-06-13 22:00:00,3436.53,3438.22,3435.32,3436.32
2025-06-13 22:15:00,3436.28,3437.91,3434.06,3435.25
2025-06-13 22:30:00,3435.24,3435.55,3431.87,3434.67
2025-06-13 22:45:00,3434.69,3434.8,3431.83,3432.31
2025-06-13 23:00:00,3432.29,3433.53,3429.24,3432.95
2025-06-13 23:15:00,3432.94,3433.44,3431.96,3432.85
2025-06-13 23:30:00,3432.88,3434.77,3431.16,3434.02
2025-06-13 23:45:00,3433.88,3434.45,3431.78,3434.15
2025-06-16 01:00:00,3434.04,3451.22,3434.04,3450.02
2025-06-16 01:15:00,3449.76,3451.06,3446.58,3447.19
2025-06-16 01:30:00,3447.17,3448.72,3439.89,3445.01
2025-06-16 01:45:00,3445.23,3450.14,3445.16,3448.39
2025-06-16 02:00:00,3448.41,3450.12,3446.17,3447.42
2025-06-16 02:15:00,3447.4,3449.13,3443.19,3447.88
2025-06-16 02:30:00,3447.95,3449.26,3445.47,3446.03
2025-06-16 02:45:00,3445.92,3445.92,3439.57,3444.11
2025-06-16 03:00:00,3444.59,3445.78,3437.26,3445.33
2025-06-16 03:15:00,3445.49,3451.23,3445.1,3448.84
