time,open,high,low,close
2025-06-13 15:30:00,2554.01,2563.79,2545.38,2546.4
2025-06-13 15:45:00,2546.61,2550.54,2537.03,2542.68
2025-06-13 16:00:00,2542.68,2543.63,2534.86,2542.6
2025-06-13 16:15:00,2542.42,2549.04,2538.47,2545.12
2025-06-13 16:30:00,2545.15,2562.28,2542.51,2559.37
2025-06-13 16:45:00,2559.52,2559.73,2541.93,2543.33
2025-06-13 17:00:00,2543.72,2555.31,2523.7,2529.25
2025-06-13 17:15:00,2529.57,2530.11,2505.19,2508.97
2025-06-13 17:30:00,2508.95,2532.81,2503.59,2529.18
2025-06-13 17:45:00,2529.25,2540.61,2522.79,2538.58
2025-06-13 18:00:00,2538.59,2555.65,2530.18,2549.28
2025-06-13 18:15:00,2549.35,2558.79,2542.99,2552.24
2025-06-13 18:30:00,2552.46,2560.61,2545.49,2557.66
2025-06-13 18:45:00,2557.46,2560.95,2544.56,2551.75
2025-06-13 19:00:00,2551.75,2580.25,2546.66,2578.2
2025-06-13 19:15:00,2578.17,2585.39,2564.74,2568.04
2025-06-13 19:30:00,2568.05,2570.75,2552.74,2558.94
2025-06-13 19:45:00,2558.87,2563.71,2545.24,2562.05
2025-06-13 20:00:00,2562.05,2562.05,2547.72,2548.56
2025-06-13 20:15:00,2548.58,2553.67,2535.15,2535.21
2025-06-13 20:30:00,2535.22,2546.28,2534.62,2537.02
2025-06-13 20:45:00,2535.95,2545.02,2522.62,2543.11
2025-06-13 21:00:00,2542.89,2545.81,2525.12,2529.36
2025-06-13 21:15:00,2529.31,2531.99,2517.66,2521.75
2025-06-13 21:30:00,2521.72,2522.62,2509.42,2515.88
2025-06-13 21:45:00,2516.16,2538.46,2514.36,2529.86
2025-06-13 22:00:00,2529.91,2537.25,2520.82,2534.05
2025-06-13 22:15:00,2534.15,2541.48,2522.76,2528.54
2025-06-13 22:30:00,2528.46,2535.54,2523.85,2527.18
2025-06-13 22:45:00,2527.05,2532.82,2522.79,2526.85
2025-06-13 23:00:00,2526.61,2540.49,2523.69,2539.11
2025-06-13 23:15:00,2539.13,2540.76,2529.79,2536.62
2025-06-13 23:30:00,2536.62,2553.18,2533.96,2552.44
2025-06-13 23:45:00,2552.44,2552.46,2539.92,2545.96
2025-06-14 00:45:00,2552.45,2556.26,2551.1,2554.57
2025-06-14 01:00:00,2554.44,2570.02,2554.3,2561.47
2025-06-14 01:15:00,2561.47,2564.1,2557.72,2561.77
2025-06-14 01:30:00,2561.77,2564.83,2560.57,2562.13
2025-06-14 01:45:00,2562.43,2574.68,2561.78,2572.16
2025-06-14 02:00:00,2572.14,2580.23,2567.37,2569.35
2025-06-14 02:15:00,2569.24,2577.4,2568.62,2575.11
2025-06-14 02:30:00,2575.11,2581.03,2572.6,2580.96
2025-06-14 02:45:00,2581.04,2584.05,2574.31,2579.53
2025-06-14 03:00:00,2579.62,2579.79,2566.34,2568.52
2025-06-14 03:15:00,2568.48,2575.46,2559.07,2565.0
2025-06-14 03:30:00,2564.91,2571.65,2561.38,2567.68
2025-06-14 03:45:00,2567.66,2573.22,2559.96,2562.16
2025-06-14 04:00:00,2562.28,2562.55,2550.22,2553.04
2025-06-14 04:15:00,2553.04,2560.97,2551.66,2559.42
2025-06-14 04:30:00,2559.37,2564.22,2556.97,2563.12
2025-06-14 04:45:00,2563.11,2566.74,2555.24,2558.23
2025-06-14 05:00:00,2558.32,2562.82,2555.48,2560.91
2025-06-14 05:15:00,2561.02,2568.28,2556.5,2558.65
2025-06-14 05:30:00,2558.5,2559.49,2552.79,2553.34
2025-06-14 05:45:00,2553.3,2556.5,2552.62,2555.28
2025-06-14 06:00:00,2555.31,2558.14,2553.09,2553.57
2025-06-14 06:15:00,2553.55,2558.73,2550.34,2557.61
2025-06-14 06:30:00,2557.49,2560.85,2552.46,2554.33
2025-06-14 06:45:00,2554.45,2555.16,2547.3,2548.9
2025-06-14 07:00:00,2548.98,2555.51,2548.34,2552.6
2025-06-14 07:15:00,2552.6,2555.74,2550.43,2554.56
2025-06-14 07:30:00,2554.34,2556.63,2552.09,2554.87
2025-06-14 07:45:00,2554.86,2556.75,2549.66,2552.18
2025-06-14 08:00:00,2552.18,2553.39,2547.78,2548.44
2025-06-14 08:15:00,2548.34,2551.87,2547.5,2550.29
2025-06-14 08:30:00,2549.96,2554.14,2547.57,2553.85
2025-06-14 08:45:00,2553.85,2557.19,2551.47,2551.98
2025-06-14 09:00:00,2551.98,2556.76,2548.75,2551.45
2025-06-14 09:15:00,2551.58,2552.15,2542.17,2545.3
2025-06-14 09:30:00,2545.3,2548.21,2542.29,2547.72
2025-06-14 09:45:00,2547.72,2549.13,2542.67,2543.34
2025-06-14 10:00:00,2543.51,2544.18,2537.1,2537.77
2025-06-14 10:15:00,2537.57,2540.0,2526.75,2535.59
2025-06-14 10:30:00,2535.74,2542.35,2534.56,2541.42
2025-06-14 10:45:00,2541.52,2542.38,2536.53,2537.41
2025-06-14 11:00:00,2537.48,2537.88,2526.84,2528.77
2025-06-14 11:15:00,2528.71,2534.1,2528.18,2533.81
2025-06-14 11:30:00,2533.87,2537.62,2526.88,2536.18
2025-06-14 11:45:00,2536.17,2538.11,2532.38,2535.75
2025-06-14 12:00:00,2535.79,2536.14,2528.83,2530.75
2025-06-14 12:15:00,2530.55,2534.93,2529.63,2530.65
2025-06-14 12:30:00,2530.65,2531.73,2527.91,2529.57
2025-06-14 12:45:00,2529.54,2530.18,2521.22,2522.92
2025-06-14 13:00:00,2522.92,2527.78,2518.79,2527.09
2025-06-14 13:15:00,2526.97,2531.23,2522.39,2530.48
2025-06-14 13:30:00,2530.53,2535.36,2527.1,2529.72
2025-06-14 13:45:00,2529.77,2533.52,2529.62,2530.93
2025-06-14 14:00:00,2530.93,2535.53,2530.93,2533.33
2025-06-14 14:15:00,2533.38,2539.68,2532.36,2535.46
2025-06-14 14:30:00,2535.57,2537.83,2530.68,2531.49
2025-06-14 14:45:00,2531.51,2540.07,2530.43,2538.29
