time,open,high,low,close
2025-06-13 15:30:00,1.36283,1.36309,1.36217,1.36244
2025-06-13 15:45:00,1.36239,1.36242,1.36126,1.36148
2025-06-13 16:00:00,1.3615,1.36247,1.36125,1.36229
2025-06-13 16:15:00,1.3623,1.36268,1.36192,1.36229
2025-06-13 16:30:00,1.36229,1.36314,1.36127,1.36167
2025-06-13 16:45:00,1.36165,1.36205,1.36137,1.36184
2025-06-13 17:00:00,1.36184,1.36187,1.36056,1.36064
2025-06-13 17:15:00,1.36066,1.36067,1.35907,1.35907
2025-06-13 17:30:00,1.35907,1.35959,1.35883,1.3589
2025-06-13 17:45:00,1.35886,1.35964,1.35871,1.35924
2025-06-13 18:00:00,1.35923,1.35942,1.35883,1.35893
2025-06-13 18:15:00,1.35892,1.35892,1.35762,1.35794
2025-06-13 18:30:00,1.35795,1.35818,1.35737,1.35801
2025-06-13 18:45:00,1.35801,1.35816,1.35735,1.35752
2025-06-13 19:00:00,1.35752,1.35765,1.35708,1.35715
2025-06-13 19:15:00,1.35715,1.35722,1.35652,1.3569
2025-06-13 19:30:00,1.35689,1.358,1.35667,1.35785
2025-06-13 19:45:00,1.35786,1.35877,1.35783,1.35844
2025-06-13 20:00:00,1.35844,1.35884,1.35818,1.35854
2025-06-13 20:15:00,1.35854,1.3595,1.35849,1.35904
2025-06-13 20:30:00,1.35906,1.35998,1.35893,1.35942
2025-06-13 20:45:00,1.35942,1.35959,1.35882,1.35887
2025-06-13 21:00:00,1.35885,1.35959,1.35871,1.35921
2025-06-13 21:15:00,1.35921,1.35956,1.35903,1.3594
2025-06-13 21:30:00,1.3594,1.35984,1.35901,1.3598
2025-06-13 21:45:00,1.3598,1.35984,1.35899,1.35921
2025-06-13 22:00:00,1.35922,1.35965,1.3591,1.35913
2025-06-13 22:15:00,1.35912,1.35971,1.35909,1.35938
2025-06-13 22:30:00,1.35938,1.35947,1.35901,1.35931
2025-06-13 22:45:00,1.35931,1.35959,1.35808,1.35837
2025-06-13 23:00:00,1.35837,1.3588,1.35799,1.35864
2025-06-13 23:15:00,1.35865,1.35928,1.3585,1.35921
