time,open,high,low,close
2025-06-13 15:30:00,144.177,144.223,144.12,144.138
2025-06-13 15:45:00,144.138,144.31,144.138,144.287
2025-06-13 16:00:00,144.287,144.424,144.235,144.38
2025-06-13 16:15:00,144.381,144.411,144.31,144.387
2025-06-13 16:30:00,144.386,144.475,144.173,144.202
2025-06-13 16:45:00,144.201,144.201,144.044,144.09
2025-06-13 17:00:00,144.098,144.139,144.012,144.074
2025-06-13 17:15:00,144.076,144.198,144.057,144.104
2025-06-13 17:30:00,144.107,144.195,144.073,144.135
2025-06-13 17:45:00,144.136,144.196,144.073,144.114
2025-06-13 18:00:00,144.115,144.182,144.086,144.134
2025-06-13 18:15:00,144.135,144.135,143.962,143.973
2025-06-13 18:30:00,143.975,144.041,143.946,144.04
2025-06-13 18:45:00,144.04,144.124,144.033,144.038
2025-06-13 19:00:00,144.038,144.038,143.974,144.01
2025-06-13 19:15:00,144.01,144.029,143.96,143.981
2025-06-13 19:30:00,143.98,144.023,143.958,144.009
2025-06-13 19:45:00,144.009,144.063,143.982,144.026
2025-06-13 20:00:00,144.026,144.07,144.005,144.05
2025-06-13 20:15:00,144.05,144.115,144.009,144.094
2025-06-13 20:30:00,144.095,144.187,144.093,144.171
2025-06-13 20:45:00,144.171,144.186,144.059,144.084
2025-06-13 21:00:00,144.084,144.089,143.984,144.013
2025-06-13 21:15:00,144.013,144.074,143.99,144.068
2025-06-13 21:30:00,144.068,144.087,143.863,143.901
2025-06-13 21:45:00,143.901,143.966,143.842,143.947
2025-06-13 22:00:00,143.949,143.987,143.925,143.937
2025-06-13 22:15:00,143.938,143.938,143.851,143.858
2025-06-13 22:30:00,143.858,143.912,143.847,143.864
2025-06-13 22:45:00,143.864,143.935,143.858,143.928
2025-06-13 23:00:00,143.927,144.061,143.917,144.026
2025-06-13 23:15:00,144.027,144.037,143.983,143.987
2025-06-13 23:30:00,143.988,144.083,143.988,144.071
2025-06-13 23:45:00,144.074,144.142,144.022,144.053
2025-06-16 00:00:00,144.028,144.028,143.865,143.929
2025-06-16 00:15:00,143.929,144.356,143.795,144.132
2025-06-16 00:30:00,144.1,144.309,144.099,144.272
2025-06-16 00:45:00,144.272,144.353,144.236,144.302
2025-06-16 01:00:00,144.322,144.608,144.269,144.584
