time,open,high,low,close
2025-06-13 15:30:00,2.155,2.1586,2.1476,2.1489
2025-06-13 15:45:00,2.1489,2.152,2.1438,2.1468
2025-06-13 16:00:00,2.1467,2.1469,2.1386,2.141
2025-06-13 16:15:00,2.141,2.1443,2.1367,2.1389
2025-06-13 16:30:00,2.1389,2.1541,2.1366,2.1491
2025-06-13 16:45:00,2.1492,2.1494,2.1337,2.1353
2025-06-13 17:00:00,2.1353,2.1445,2.1279,2.1308
2025-06-13 17:15:00,2.1304,2.1306,2.1192,2.1198
2025-06-13 17:30:00,2.1198,2.1323,2.1176,2.1295
2025-06-13 17:45:00,2.1293,2.1375,2.1243,2.1358
2025-06-13 18:00:00,2.1358,2.1453,2.1328,2.144
2025-06-13 18:15:00,2.144,2.1497,2.139,2.1446
2025-06-13 18:30:00,2.1449,2.1485,2.1415,2.1472
2025-06-13 18:45:00,2.1472,2.1494,2.1397,2.1436
2025-06-13 19:00:00,2.1436,2.1556,2.138,2.1542
2025-06-13 19:15:00,2.1544,2.1564,2.1462,2.1482
2025-06-13 19:30:00,2.1482,2.1496,2.1383,2.1418
2025-06-13 19:45:00,2.1418,2.1503,2.1325,2.1494
2025-06-13 20:00:00,2.1494,2.1494,2.1396,2.1411
2025-06-13 20:15:00,2.1412,2.143,2.1338,2.1344
2025-06-13 20:30:00,2.1344,2.1406,2.132,2.1348
2025-06-13 20:45:00,2.1345,2.1446,2.1279,2.1431
2025-06-13 21:00:00,2.1432,2.1457,2.1306,2.1308
2025-06-13 21:15:00,2.1308,2.1324,2.1219,2.1242
2025-06-13 21:30:00,2.1241,2.1247,2.1117,2.1156
2025-06-13 21:45:00,2.1156,2.1324,2.1144,2.1289
2025-06-13 22:00:00,2.1289,2.1317,2.1211,2.1295
2025-06-13 22:15:00,2.1294,2.1344,2.1206,2.128
2025-06-13 22:30:00,2.128,2.1326,2.1219,2.1224
2025-06-13 22:45:00,2.1224,2.1258,2.1162,2.1171
2025-06-13 23:00:00,2.1174,2.1278,2.1158,2.1275
2025-06-13 23:15:00,2.1272,2.1319,2.1215,2.13
2025-06-13 23:30:00,2.13,2.1435,2.1273,2.1431
2025-06-13 23:45:00,2.1432,2.1432,2.1297,2.1359
2025-06-14 00:45:00,2.138,2.1392,2.1327,2.1345
2025-06-14 01:00:00,2.1345,2.1426,2.1335,2.1364
2025-06-14 01:15:00,2.1364,2.1383,2.1311,2.1335
2025-06-14 01:30:00,2.1335,2.1359,2.1322,2.1358
2025-06-14 01:45:00,2.1358,2.1385,2.1306,2.1367
2025-06-14 02:00:00,2.1367,2.144,2.1358,2.1393
2025-06-14 02:15:00,2.1393,2.1453,2.1387,2.1438
2025-06-14 02:30:00,2.1438,2.1461,2.1413,2.1455
2025-06-14 02:45:00,2.1455,2.1474,2.1416,2.1432
2025-06-14 03:00:00,2.1436,2.1437,2.138,2.14
2025-06-14 03:15:00,2.14,2.1438,2.1323,2.1369
2025-06-14 03:30:00,2.1369,2.141,2.1362,2.1395
2025-06-14 03:45:00,2.1395,2.1453,2.1347,2.1357
2025-06-14 04:00:00,2.1357,2.1358,2.1285,2.1303
2025-06-14 04:15:00,2.1303,2.1345,2.129,2.1337
2025-06-14 04:30:00,2.1335,2.1367,2.1322,2.1347
2025-06-14 04:45:00,2.1347,2.137,2.131,2.1356
2025-06-14 05:00:00,2.1356,2.1397,2.1342,2.1393
