time,open,high,low,close
2025-06-13 15:30:00,1.15147,1.15222,1.15144,1.15197
2025-06-13 15:45:00,1.15197,1.15201,1.15125,1.15159
2025-06-13 16:00:00,1.15155,1.15185,1.15023,1.15065
2025-06-13 16:15:00,1.15065,1.15111,1.15034,1.15055
2025-06-13 16:30:00,1.15055,1.15177,1.15007,1.1515
2025-06-13 16:45:00,1.15151,1.15271,1.15151,1.15224
2025-06-13 17:00:00,1.15221,1.15397,1.15204,1.15397
2025-06-13 17:15:00,1.15396,1.15452,1.15325,1.1545
2025-06-13 17:30:00,1.1545,1.15457,1.15339,1.15378
2025-06-13 17:45:00,1.15379,1.15443,1.15351,1.15439
2025-06-13 18:00:00,1.1544,1.15452,1.15376,1.15449
2025-06-13 18:15:00,1.1545,1.15636,1.1545,1.15631
2025-06-13 18:30:00,1.15631,1.15689,1.15609,1.15621
2025-06-13 18:45:00,1.15622,1.15636,1.15528,1.15556
2025-06-13 19:00:00,1.15557,1.15597,1.15519,1.15526
2025-06-13 19:15:00,1.15526,1.15636,1.15523,1.15615
2025-06-13 19:30:00,1.15615,1.15654,1.15586,1.15602
2025-06-13 19:45:00,1.156,1.15614,1.15523,1.1554
2025-06-13 20:00:00,1.1554,1.1555,1.15476,1.15483
2025-06-13 20:15:00,1.15484,1.15492,1.15411,1.15448
2025-06-13 20:30:00,1.15446,1.15454,1.1537,1.1537
2025-06-13 20:45:00,1.1537,1.15504,1.15367,1.15486
2025-06-13 21:00:00,1.15486,1.15504,1.15443,1.15475
2025-06-13 21:15:00,1.15474,1.15485,1.15406,1.15409
2025-06-13 21:30:00,1.15409,1.15461,1.1533,1.15355
2025-06-13 21:45:00,1.15355,1.15471,1.15354,1.1541
2025-06-13 22:00:00,1.15406,1.15413,1.15374,1.15403
2025-06-13 22:15:00,1.15403,1.15422,1.15362,1.15388
2025-06-13 22:30:00,1.15388,1.15446,1.15374,1.15445
2025-06-13 22:45:00,1.15446,1.15512,1.15423,1.15494
2025-06-13 23:00:00,1.15494,1.15494,1.1538,1.15434
2025-06-13 23:15:00,1.15433,1.15447,1.15404,1.15419
2025-06-13 23:30:00,1.15419,1.15506,1.15375,1.15501
2025-06-13 23:45:00,1.15498,1.15515,1.15428,1.1549
2025-06-16 00:00:00,1.15272,1.1548,1.15211,1.15295
2025-06-16 00:15:00,1.15295,1.15307,1.15273,1.15296
2025-06-16 00:30:00,1.15296,1.15312,1.15259,1.15309
2025-06-16 00:45:00,1.15308,1.15345,1.15285,1.15296
2025-06-16 01:00:00,1.15293,1.15324,1.15252,1.15265
2025-06-16 01:15:00,1.1526,1.15353,1.15257,1.15318
2025-06-16 01:30:00,1.1532,1.15418,1.1531,1.15378
2025-06-16 01:45:00,1.15382,1.15471,1.15378,1.15404
2025-06-16 02:00:00,1.15406,1.15412,1.15292,1.15293
2025-06-16 02:15:00,1.15293,1.15342,1.1527,1.15333
2025-06-16 02:30:00,1.15334,1.15394,1.15322,1.15383
2025-06-16 02:45:00,1.15384,1.15384,1.15351,1.15373
2025-06-16 03:00:00,1.15373,1.15443,1.15344,1.15405
