time,open,high,low,close
2025-06-13 15:30:00,145.6359,146.1897,145.1504,145.1791
2025-06-13 15:45:00,145.1791,145.5504,144.8928,145.1212
2025-06-13 16:00:00,145.1212,145.2112,144.7358,145.1659
2025-06-13 16:15:00,145.1459,145.3526,144.5772,144.8243
2025-06-13 16:30:00,144.8243,146.3669,144.7193,146.0486
2025-06-13 16:45:00,146.0586,146.2,145.1116,145.2043
2025-06-13 17:00:00,145.2043,145.9443,144.6615,144.8059
2025-06-13 17:15:00,144.7959,144.8554,143.9853,144.0453
2025-06-13 17:30:00,144.0453,145.2653,143.8411,145.1253
2025-06-13 17:45:00,145.1353,146.2551,144.8492,146.1031
2025-06-13 18:00:00,146.1031,147.0725,145.6071,146.7938
2025-06-13 18:15:00,146.7938,147.6489,146.4438,147.3123
2025-06-13 18:30:00,147.3123,147.6497,146.8474,147.5807
2025-06-13 18:45:00,147.5907,147.7612,146.6491,147.1449
2025-06-13 19:00:00,147.1549,148.3755,146.7529,148.2752
2025-06-13 19:15:00,148.2842,148.4047,147.3177,147.6781
2025-06-13 19:30:00,147.6781,147.7675,146.6793,147.0376
2025-06-13 19:45:00,147.0186,147.43,146.2035,147.3359
2025-06-13 20:00:00,147.3319,147.3319,146.3515,146.4585
2025-06-13 20:15:00,146.4627,146.5795,145.8042,145.9582
2025-06-13 20:30:00,145.9392,146.5458,145.7795,145.7962
2025-06-13 20:45:00,145.7592,146.4576,145.156,146.3764
2025-06-13 21:00:00,146.3764,146.5172,145.0915,145.1487
2025-06-13 21:15:00,145.1487,145.7018,144.604,145.0698
2025-06-13 21:30:00,145.0508,145.0778,144.1356,144.5935
2025-06-13 21:45:00,144.5935,145.6977,144.4755,145.3865
2025-06-13 22:00:00,145.3765,145.4884,144.7218,145.3081
2025-06-13 22:15:00,145.3081,145.8741,144.2801,144.8111
2025-06-13 22:30:00,144.8161,145.4578,144.6091,144.9066
2025-06-13 22:45:00,144.9006,145.2446,144.6356,145.0206
2025-06-13 23:00:00,145.0196,145.7088,144.6125,145.5788
2025-06-13 23:15:00,145.5888,146.0192,145.2347,145.9995
2025-06-13 23:30:00,145.9995,147.1455,145.7675,147.108
2025-06-13 23:45:00,147.108,147.108,146.0598,146.9879
2025-06-14 00:45:00,146.9979,147.0818,146.7772,146.9488
2025-06-14 01:00:00,146.9488,147.6348,146.9488,147.2117
2025-06-14 01:15:00,147.2122,147.4824,146.926,147.1062
2025-06-14 01:30:00,147.1022,147.3372,147.0682,147.3372
2025-06-14 01:45:00,147.3906,147.8896,147.3475,147.6802
2025-06-14 02:00:00,147.6812,148.0688,147.5621,147.6321
2025-06-14 02:15:00,147.6401,148.1426,147.6401,148.0691
2025-06-14 02:30:00,148.07,148.6215,147.9238,148.6089
2025-06-14 02:45:00,148.6109,148.7981,148.1995,148.487
2025-06-14 03:00:00,148.487,148.507,148.0945,148.1255
2025-06-14 03:15:00,148.1555,148.5783,147.7662,147.8915
2025-06-14 03:30:00,147.9015,148.3105,147.617,148.055
2025-06-14 03:45:00,148.058,148.3908,147.4866,147.6663
2025-06-14 04:00:00,147.6663,147.6663,146.6161,146.8995
2025-06-14 04:15:00,146.9,147.1666,146.7955,147.028
2025-06-14 04:30:00,146.999,147.3572,146.8372,147.3461
2025-06-14 04:45:00,147.3461,147.4199,146.553,146.7565
2025-06-14 05:00:00,146.7495,146.8246,146.5764,146.7934
2025-06-14 05:15:00,146.7944,147.1919,146.5799,146.6679
2025-06-14 05:30:00,146.6609,146.6716,146.355,146.3735
2025-06-14 05:45:00,146.3945,146.5418,146.3545,146.4111
2025-06-14 06:00:00,146.4325,146.7886,146.4049,146.5484
2025-06-14 06:15:00,146.5484,146.9827,146.3675,146.8976
2025-06-14 06:30:00,146.8976,147.0894,146.7746,146.8303
2025-06-14 06:45:00,146.8403,146.8949,146.3601,146.5819
2025-06-14 07:00:00,146.5819,146.9063,146.5239,146.7625
2025-06-14 07:15:00,146.7755,147.0023,146.6265,146.8839
2025-06-14 07:30:00,146.9119,147.0107,146.6062,146.8302
2025-06-14 07:45:00,146.8392,146.8802,146.4376,146.7166
2025-06-14 08:00:00,146.7166,146.7676,146.4491,146.5443
2025-06-14 08:15:00,146.5443,146.6833,146.2149,146.4166
